time,open,high,low,close,PlotCandle (Open),PlotCandle (High,PlotCandle (Low),PlotCandle (Close),Bullish Directional Shift,Bearish Directional Shift,Fast EMA,Slow EMA,Trend EMA,Long Signal,Short Signal,Bars In Trade
2026-09-18T06:25:00-04:00,4379.98,4381.47,4379.03,4381.46,4379.98,4381.47,4379.03,4381.46,0,0,4380.028027510824,4381.208208481436,4377.066948947132,0,0,
2026-09-18T06:30:00-04:00,4381.46,4381.92,4378.36,4381.21,4381.46,4381.92,4378.36,4381.21,0,0,4380.42201834055,4381.208464412659,4377.148989562041,0,0,
2026-09-18T06:35:00-04:00,4381.21,4382,4379.95,4380.81,4381.21,4382,4379.95,4380.81,0,0,4380.551345560367,4381.151540925136,4377.2214848182375,0,0,
2026-09-18T06:40:00-04:00,4380.8,4381.54,4378.98,4381.44,4380.8,4381.54,4378.98,4381.44,0,0,4380.847563706911,4381.1927493644025,4377.305019772331,0,0,
2026-09-18T06:45:00-04:00,4381.44,4381.47,4377.48,4378.88,4381.44,4381.47,4377.48,4378.88,0,0,4380.191709137941,4380.86235659806,4377.336207499612,0,0,
2026-09-18T06:50:00-04:00,4378.88,4379.32,4376.31,4377.39,4378.88,4379.32,4376.31,4377.39,0,0,4379.25780609196,4380.36630565548,4377.3372726976395,0,0,
2026-09-18T06:55:00-04:00,4377.48,4382.03,4377.14,4381.82,4377.48,4382.03,4377.14,4381.82,0,0,4380.111870727974,4380.573976276125,4377.426039574914,0,0,
2026-09-18T07:00:00-04:00,4381.81,4386.88,4381.26,4385.56,4381.81,4386.88,4381.26,4385.56,1,0,4381.927913818649,4381.2862653795355,4377.587108098183,0,0,
2026-09-18T07:05:00-04:00,4385.57,4386.15,4377.65,4385.81,4385.57,4386.15,4377.65,4385.81,0,1,4383.221942545766,4381.932513182459,4377.749937640793,0,0,
2026-09-18T07:10:00-04:00,4385.81,4388.52,4385.43,4388.25,4385.81,4388.52,4385.43,4388.25,1,0,4384.897961697177,4382.83501129925,4377.957859667708,0,0,
2026-09-18T07:15:00-04:00,4388.25,4388.5,4381.18,4381.66,4388.25,4388.5,4381.18,4381.66,0,1,4383.818641131452,4382.667152542214,4378.031169377258,0,0,
2026-09-18T07:20:00-04:00,4381.66,4383.72,4381.29,4381.66,4381.66,4383.72,4381.29,4381.66,0,0,4383.0990940876345,4382.523273607612,4378.103027409392,0,0,
2026-09-18T07:25:00-04:00,4381.69,4383.18,4377.76,4377.76,4381.69,4383.18,4377.76,4377.76,0,0,4381.319396058423,4381.842805949382,4378.096234787424,0,0,
2026-09-18T07:30:00-04:00,4377.75,4381.17,4377.39,4380.41,4377.75,4381.17,4377.39,4380.41,0,0,4381.016264038949,4381.638119385184,4378.142051920346,0,0,
2026-09-18T07:35:00-04:00,4380.43,4382.69,4378.37,4379.17,4380.43,4382.69,4378.37,4379.17,0,0,4380.400842692633,4381.285530901586,4378.162407327864,0,0,
2026-09-18T07:40:00-04:00,4379.04,4379.42,4374.69,4375.91,4379.04,4379.42,4374.69,4375.91,0,0,4378.903895128422,4380.517597915645,4378.117805202559,0,0,
2026-09-18T07:45:00-04:00,4375.91,4377.47,4374.45,4376.38,4375.91,4377.47,4374.45,4376.38,0,0,4378.062596752281,4379.926512499124,4378.08339321835,0,0,
2026-09-18T07:50:00-04:00,4376.37,4376.41,4372.69,4373.15,4376.37,4376.41,4372.69,4373.15,0,0,4376.425064501521,4378.958439284964,4377.985702263531,0,0,
2026-09-18T07:55:00-04:00,4373.16,4381.92,4372.78,4381.51,4373.16,4381.92,4372.78,4381.51,0,0,4378.120043001014,4379.322947958541,4378.0554903375205,0,0,
2026-09-18T08:00:00-04:00,4381.58,4382.88,4373.63,4379.91,4381.58,4382.88,4373.63,4379.91,0,0,4378.716695334009,4379.406812535892,4378.092213301134,0,0,
2026-09-18T08:05:00-04:00,4380.09,4381.48,4371.67,4375,4380.09,4381.48,4371.67,4375,0,0,4377.4777968893395,4378.777267887907,4378.030981354576,0,0,
2026-09-18T08:10:00-04:00,4375,4375.11,4370.7,4373.56,4375,4375.11,4370.7,4373.56,0,0,4376.171864592893,4378.03194390392,4377.942447070327,0,0,
2026-09-18T08:15:00-04:00,4373.52,4376.36,4370.97,4371.42,4373.52,4376.36,4370.97,4371.42,0,0,4374.587909728595,4377.087380489074,4377.813289702598,0,0,
2026-09-18T08:20:00-04:00,4371.42,4371.42,4356.88,4357.13,4371.42,4371.42,4356.88,4357.13,0,0,4368.76860648573,4374.236326133492,4377.403719609477,0,0,
2026-09-18T08:25:00-04:00,4357.12,4360.54,4353.81,4358.36,4357.12,4360.54,4353.81,4358.36,0,0,4365.299070990486,4371.9682795429935,4377.026616250873,0,0,
2026-09-18T08:30:00-04:00,4358.32,4370.93,4358.27,4370.8,4358.32,4370.93,4358.27,4370.8,0,0,4367.1327139936575,4371.801382465423,4376.9033169191725,0,0,
2026-09-18T08:35:00-04:00,4370.79,4373.09,4368.54,4368.77,4370.79,4373.09,4368.54,4368.77,0,0,4367.678475995772,4371.368327827505,4376.742261138595,0,0,
2026-09-18T08:40:00-04:00,4368.65,4370.81,4366.74,4369.18,4368.65,4370.81,4366.74,4369.18,0,0,4368.178983997182,4371.055709566433,4376.592513393276,0,0,
2026-09-18T08:45:00-04:00,4369.21,4370.69,4366.61,4369,4369.21,4370.69,4366.61,4369,0,0,4368.452655998121,4370.762036771228,4376.442166593409,0,0,
