tf,sl_mode,sl_value,tp_r,barsN,buf_atr,trail,cost_preset,n_trades,n_long,n_short,win_rate,gross_pnl,total_cost,net_pnl,cost_to_gross_ratio,profit_factor_net,expectancy_R,max_drawdown_net,avg_bars_held,exit_tp,exit_sl,exit_trail,exit_end,same_bar_exit_share,avg_net_per_trade
15,atr,3.0,1.5,5,1.0,tick,cfd_std,16,9,7,0.5,79.51412098287256,405.0,-325.48587901712744,0.06723217284599596,0.8978650815831618,-0.024705887965672205,1976.05820983772,5.0,0.125,0.3125,0.5625,0.0,0.0625,-20.342867438570465
15,atr,3.0,1.5,5,1.0,tick,cfd_raw,16,9,7,0.5,-42.01750114321476,336.0,-378.01750114321476,0.05479728013504501,0.8841451499399156,-0.028707933089215043,2056.0898319638072,4.4375,0.125,0.3125,0.5625,0.0,0.0625,-23.626093821450922
15,atr,3.0,1.5,5,2.0,off,none,2,1,1,1.0,1841.9436183514772,0.0,1841.9436183514772,0.0,inf,1.5000000000000067,0.0,33.5,1.0,0.0,0.0,0.0,0.0,920.9718091757386
15,atr,3.0,1.5,5,2.0,off,exchange,2,1,1,1.0,1845.9436183514772,175.1084177396904,1670.8352006117868,0.09486119510847858,inf,1.360621811804512,0.0,33.5,1.0,0.0,0.0,0.0,0.0,835.4176003058934
15,atr,3.0,1.5,5,2.0,off,cfd_std,2,1,1,1.0,1868.9436183514772,27.0,1841.9436183514772,0.014446663738211457,inf,1.5000000000000067,0.0,33.5,1.0,0.0,0.0,0.0,0.0,920.9718091757386
15,atr,3.0,1.5,5,2.0,off,cfd_raw,2,1,1,1.0,1857.9436183514772,28.0,1829.9436183514772,0.015070425024438545,inf,1.4902263114360874,0.0,33.5,1.0,0.0,0.0,0.0,0.0,914.9718091757386
15,atr,3.0,1.5,5,2.0,bar,none,2,1,1,0.5,900.7647178554471,0.0,900.7647178554471,0.0,29.834296195621704,0.7242515711602939,31.239351629890734,1.5,0.5,0.0,0.5,0.0,0.0,450.38235892772354
15,atr,3.0,1.5,5,2.0,bar,exchange,2,1,1,0.5,902.7647178554471,176.63582828944237,726.1288895660048,0.18299614835536496,6.997070363437865,0.5819659833297239,121.08060195407597,1.5,0.5,0.0,0.5,0.0,0.0,363.0644447830024
15,atr,3.0,1.5,5,2.0,bar,cfd_std,2,1,1,0.5,914.2647178554471,40.5,873.7647178554471,0.041464318186814925,16.002995284154167,0.7019973455634031,58.239351629890734,1.5,0.5,0.0,0.5,0.0,0.0,436.88235892772354
15,atr,3.0,1.5,5,2.0,bar,cfd_raw,2,1,1,0.5,908.7647178554471,36.0,872.7647178554471,0.03706588813612046,17.393225896564854,0.7012901933537729,53.239351629890734,1.5,0.5,0.0,0.5,0.0,0.0,436.38235892772354
15,atr,3.0,1.5,5,2.0,tick,none,2,1,1,1.0,1030.0786138839176,0.0,1030.0786138839176,0.0,inf,0.8308360383836442,0.0,1.5,0.5,0.0,0.5,0.0,0.0,515.0393069419588
15,atr,3.0,1.5,5,2.0,tick,exchange,2,1,1,1.0,1032.0786138839176,176.70048523745663,855.3781286464609,0.17120835841418852,inf,0.6884971583194625,0.0,1.5,0.5,0.0,0.5,0.0,0.0,427.68906432323047
15,atr,3.0,1.5,5,2.0,tick,cfd_std,2,1,1,1.0,1043.5786138839176,40.5,1003.0786138839176,0.038808767697212525,inf,0.8085818127867533,0.0,1.5,0.5,0.0,0.5,0.0,0.0,501.5393069419588
15,atr,3.0,1.5,5,2.0,tick,cfd_raw,2,1,1,1.0,1038.0786138839176,36.0,1002.0786138839176,0.034679454444502864,inf,0.8078746605771231,0.0,1.5,0.5,0.0,0.5,0.0,0.0,501.0393069419588
15,atr,3.0,1.5,8,0.5,off,none,12,10,2,0.4166666666666667,586.3145895521884,0.0,586.3145895521884,0.0,1.1309571964662388,0.04166666666666768,1844.6035751685413,27.916666666666668,0.4166666666666667,0.5833333333333334,0.0,0.0,0.08333333333333333,48.859549129349034
15,atr,3.0,1.5,8,0.5,off,exchange,12,10,2,0.4166666666666667,608.3145895521884,1004.2724952840043,-395.9579057318159,0.10532918406492281,0.9216357470645745,-0.09588432653623814,2077.9296713701915,27.916666666666668,0.4166666666666667,0.5833333333333334,0.0,0.0,0.08333333333333333,-32.99649214431799
15,atr,3.0,1.5,8,0.5,off,cfd_std,12,10,2,0.4166666666666667,734.8145895521884,256.5,478.3145895521884,0.026999692671213032,1.104626322484777,0.026144129307555535,1885.1035751685413,27.916666666666668,0.4166666666666667,0.5833333333333334,0.0,0.0,0.08333333333333333,39.859549129349034
15,atr,3.0,1.5,8,0.5,off,cfd_raw,12,10,2,0.4166666666666667,674.3145895521884,224.0,450.3145895521884,0.023537798006620578,1.098426260817583,0.022340527881875755,1886.6035751685413,27.916666666666668,0.4166666666666667,0.5833333333333334,0.0,0.0,0.08333333333333333,37.5262157960157
15,atr,3.0,1.5,8,0.5,bar,none,19,14,5,0.5263157894736842,1413.8297261274129,0.0,1413.8297261274129,0.0,1.4739352812179025,0.19441124151673203,2171.3654430981987,10.789473684210526,0.21052631578947367,0.21052631578947367,0.5789473684210527,0.0,0.05263157894736842,74.4120908488112
15,atr,3.0,1.5,8,0.5,bar,exchange,18,13,5,0.5555555555555556,1723.5678000284097,1518.6580870130474,204.9097130153624,0.20307798223273704,1.0584130839601509,0.08335731521274607,2269.9909992972825,11.88888888888889,0.2222222222222222,0.2222222222222222,0.5555555555555556,0.0,0.05555555555555555,11.383872945297911
15,atr,3.0,1.5,8,0.5,bar,cfd_std,18,13,5,0.6111111111111112,1482.5403110878106,432.0,1050.5403110878106,0.05546832230218516,1.3143594352159982,0.15478006134483913,2291.654858137801,12.055555555555555,0.2222222222222222,0.2777777777777778,0.5,0.0,0.05555555555555555,58.363350615989475
15,atr,3.0,1.5,8,0.5,bar,cfd_raw,18,13,5,0.6111111111111112,1765.5678000284097,364.0,1401.5678000284097,0.04871388923903378,1.4660525817430659,0.2017951928007025,1961.627369197202,11.88888888888889,0.2222222222222222,0.2222222222222222,0.5555555555555556,0.0,0.05555555555555555,77.86487777935609
15,atr,3.0,1.5,8,0.5,tick,none,20,14,6,0.65,562.7690480417077,0.0,562.7690480417077,0.0,1.1779682869991468,0.08460559576363212,1884.5752967135631,7.75,0.15,0.25,0.6,0.0,0.05,28.138452402085385
15,atr,3.0,1.5,8,0.5,tick,exchange,20,14,6,0.4,576.7690480417077,1686.2014020728864,-1109.4323540311784,0.24504668305952926,0.7212634167538013,-0.0702214515702377,2359.6410028498794,7.75,0.15,0.25,0.6,0.0,0.05,-55.47161770155892
15,atr,3.0,1.5,8,0.5,tick,cfd_std,20,14,6,0.55,657.2690480417077,499.5,157.76904804170772,0.07295545569217801,1.047432309176373,0.047949851903228584,2006.0752967135631,7.75,0.15,0.25,0.6,0.0,0.05,7.888452402085386
15,atr,3.0,1.5,8,0.5,tick,cfd_raw,20,14,6,0.55,618.7690480417077,416.0,202.76904804170772,0.06061362363991647,1.0612837168743432,0.051721032992831005,1992.5752967135631,7.75,0.15,0.25,0.6,0.0,0.05,10.138452402085386
15,atr,3.0,1.5,8,1.0,off,none,9,7,2,0.2222222222222222,-2966.380388267382,0.0,-2966.380388267382,0.0,0.3662300025225345,-0.4444444444444441,3232.243433960408,30.666666666666668,0.2222222222222222,0.7777777777777778,0.0,0.0,0.1111111111111111,-329.597820918598
