time,open,high,low,close,Volume
1929-10-01,29.98,30.809999,17.66,21.450001,0
1930-01-01,21.18,24.85,21.18,24.15,0
1930-04-01,25.370001,25.92,19.389999,20.459999,0
1930-07-01,20.24,21.860001,18.59,18.59,0
1930-10-01,19.42,19.42,14.44,15.34,0
1931-01-01,15.85,18.17,15.09,16.690001,0
1931-04-01,16.52,16.719999,12.2,14.83,0
1931-07-01,15.07,15.26,9.71,9.71,0
1931-10-01,9.53,11.52,7.72,8.12,0
1932-01-01,7.56,8.98,7.31,7.31,0
1932-04-01,7.18,7.18,4.4,4.43,0
1932-07-01,4.6,9.31,4.41,8.08,0
1932-10-03,8.06,8.06,6.42,6.92,0
1933-01-02,6.83,7.34,5.53,5.85,0
1933-04-03,5.87,10.98,5.87,10.91,0
1933-07-03,11.62,12.2,9.65,9.72,0
1933-10-02,9.62,10.32,8.61,9.97,0
1934-01-01,10.11,11.82,9.76,10.62,0
1934-04-02,10.76,11.16,9.38,9.81,0
1934-07-02,9.69,9.99,8.36,9.08,0
1934-10-01,8.83,9.56,8.76,9.5,0
1935-01-01,9.51,9.58,8.06,8.45,0
1935-04-01,8.54,10.47,8.22,10.24,0
1935-07-01,10.28,11.92,10.28,11.59,0
1935-10-01,11.48,13.46,11.1,13.43,0
1936-01-01,13.4,15.1,13.4,14.92,0
1936-04-01,15.19,15.51,13.53,14.84,0
1936-07-01,14.9,16.290001,14.81,16.01,0
1936-10-01,16.040001,17.690001,16.040001,17.18,0
1937-01-01,16.93,18.67,16.93,17.92,0
1937-04-01,17.709999,17.709999,15.12,15.4,0
1937-07-01,15.47,17.27,13.2,13.76,0
1937-10-01,13.72,13.72,10.17,10.55,0
1938-01-03,10.52,11.95,8.5,8.5,0
1938-04-01,8.91,11.72,8.91,11.56,0
1938-07-01,11.91,12.8,10.99,12.24,0
1938-10-03,12.52,13.91,12.32,13.14,0
1939-01-02,13.08,13.23,10.98,10.98,0
1939-04-03,11.26,11.8,10.42,10.86,0
1939-07-03,11,13.17,10.86,12.79,0
1939-10-02,12.88,13.21,12.19,12.46,0
1940-01-01,12.63,12.77,12,12.18,0
1940-04-01,12.21,12.59,8.99,9.98,0
1940-07-01,9.87,10.93,9.84,10.66,0
1940-10-01,10.81,11.39,10.38,10.58,0
1941-01-01,10.48,10.86,9.53,9.96,0
1941-04-01,9.97,10.16,9.3,9.85,0
1941-07-01,9.82,10.47,9.82,10.2,0
1941-10-01,10.17,10.17,8.37,8.69,0
1942-01-01,8.89,9.09,7.98,8.01,0
1942-04-01,8.05,8.53,7.47,8.3,0
1942-07-01,8.23,8.9,8.23,8.85,0
1942-10-01,8.92,9.77,8.92,9.77,0
1943-01-01,9.92,11.59,9.89,11.58,0
1943-04-01,11.59,12.35,11.14,12.35,0
1943-07-01,12.36,12.64,11.47,12.08,0
1943-10-01,12.09,12.09,10.99,11.67,0
1944-01-03,11.66,12.31,11.56,12.02,0
1944-04-03,11.96,13.02,11.67,12.98,0
1944-07-03,13.11,13.27,12.35,12.74,0
1944-10-02,12.8,13.28,12.67,13.28,0
1945-01-01,13.33,14.38,13.21,13.61,0
1945-04-02,13.77,15.37,13.67,14.87,0
1945-07-02,15.03,16.049999,14.38,16.049999,0
1945-10-01,16.33,17.68,16.299999,17.360001,0
1946-01-01,17.25,18.700001,16.809999,18.040001,0
1946-04-01,18.059999,19.25,18.030001,18.43,0
1946-07-01,18.540001,18.540001,14.33,14.96,0
1946-10-01,14.92,15.5,14.12,15.3,0
1947-01-01,15.2,16.139999,14.77,15.17,0
1947-04-01,15.23,15.24,13.77,15.21,0
1947-07-01,15.46,16.120001,14.85,15.11,0
1947-10-01,15.16,15.79,14.63,15.3,0
1948-01-01,15.34,15.34,13.84,15.08,0
1948-04-01,15.12,17.059999,15.12,16.74,0
1948-07-01,16.700001,16.92,15.19,15.49,0
1948-10-01,15.67,16.700001,14.75,15.2,0
1949-01-03,14.95,15.61,14.38,15.06,0
1949-04-01,14.94,15.07,13.55,14.16,0
1949-07-01,14.26,15.74,14.26,15.58,0
1949-10-03,15.6,16.790001,15.6,16.790001,0
1950-01-02,16.66,17.559999,16.66,17.290001,106420000
1950-04-03,17.530001,19.4,17.440001,17.690001,130520000
1950-07-03,17.639999,19.450001,16.68,19.450001,122060000
1950-10-02,19.690001,20.43,19,20.43,141300000
1951-01-01,20.77,22.200001,20.690001,21.48,135110000
1951-04-02,21.32,22.809999,20.959999,20.959999,104140000
1951-07-02,21.1,23.709999,21.1,23.26,98040000
1951-10-01,23.469999,23.85,22.4,23.77,90390000
1952-01-01,23.799999,24.66,23.09,24.370001,86280000
1952-04-01,24.18,24.959999,23.17,24.959999,75040000
1952-07-01,25.120001,25.549999,24.450001,24.540001,69090000
1952-10-01,24.48,26.59,23.799999,26.57,96630000
1953-01-01,26.540001,26.66,25.290001,25.290001,106740000
1953-04-01,25.25,25.25,23.540001,24.139999,86180000
1953-07-01,24.24,24.84,22.709999,23.35,73280000
1953-10-01,23.49,24.99,23.389999,24.809999,88500000
1954-01-01,24.950001,26.940001,24.799999,26.940001,110730000
1954-04-01,27.17,29.43,27.01,29.209999,127630000
1954-07-01,29.209999,32.689999,29.209999,32.310001,149960000
1954-10-01,32.290001,35.98,31.68,35.98,183660000
1955-01-03,36.75,37.52,34.580002,36.580002,201240000
1955-04-01,36.950001,41.029999,36.830002,41.029999,157360000
1955-07-01,41.189999,45.630001,41.189999,43.669998,150350000
1955-10-03,42.490002,46.41,40.799999,45.48,139500000
1956-01-02,45.16,48.869999,43.110001,48.48,153840000
1956-04-02,48.700001,48.849998,44.099998,46.970001,144490000
1956-07-02,46.93,49.639999,45.349998,45.349998,127320000
1956-10-01,44.700001,47.599998,44.380001,46.669998,130180000
1957-01-01,46.200001,46.66,42.389999,44.110001,121290000
1957-04-01,44.139999,48.240002,44.139999,47.369999,144320000
1957-07-01,47.43,49.130001,42.419998,42.419998,126510000
1957-10-01,42.759998,43.139999,38.98,39.990002,166600000
1958-01-01,40.330002,42.580002,40.330002,42.099998,136700000
1958-04-01,41.93,45.34,41.330002,45.240002,160980000
1958-07-01,45.279999,50.060001,45.110001,50.060001,203670000
1958-10-01,49.98,55.209999,49.98,55.209999,245310000
1959-01-01,55.439999,56.669998,53.580002,55.439999,231460000
1959-04-01,55.689999,58.68,55.689999,58.470001,211100000
1959-07-01,58.970001,60.709999,55.139999,56.880001,179450000
1959-10-01,56.939999,59.889999,56,59.889999,198040000
1960-01-01,59.91,60.389999,53.470001,55.34,190130000
1960-04-01,55.43,58,54.130001,56.919998,202570000
1960-07-01,57.060001,58.07,52.48,53.52,180030000
1960-10-03,53.360001,58.110001,52.200001,58.110001,193710000
1961-01-02,57.57,65.059998,57.57,65.059998,296790000
1961-04-03,65.599998,68.68,64.400002,64.639999,271790000
1961-07-03,65.209999,68.459999,64.410004,66.730003,206150000
1961-10-02,66.769997,72.639999,66.730003,71.550003,243130000
1962-01-01,71.550003,71.959999,67.550003,69.550003,215360000
1962-04-02,69.550003,69.82,51.349998,54.75,276430000
1962-07-02,54.75,60.330002,54.470001,56.27,217450000
1962-10-01,56.27,63.5,52.549999,63.099998,255580000
1963-01-01,63.099998,67.010002,62.32,66.57,255850000
1963-04-01,66.57,71.239998,66.230003,69.370003,301940000
1963-07-01,69.370003,73.870003,67.540001,71.699997,274580000
1963-10-01,71.699997,75.360001,69.480003,75.019997,315010000
1964-01-01,75.019997,79.889999,74.82,78.980003,318490000
1964-04-01,78.980003,82.099998,78.150002,81.690002,318790000
1964-07-01,81.690002,84.800003,80.800003,84.18,294640000
1964-10-01,84.18,86.800003,82.650002,84.75,304200000
1965-01-01,84.75,88.190002,83.769997,86.160004,346240000
1965-04-01,86.160004,90.68,80.730003,84.120003,357470000
1965-07-01,84.120003,91.129997,83.300003,89.959999,349400000
1965-10-01,89.959999,93.300003,89.199997,92.43,502250000
1966-01-03,92.43,94.720001,86.690002,89.230003,540060000
1966-04-01,89.230003,93.019997,83.18,84.739998,497900000
1966-07-01,84.739998,88.190002,73.910004,76.559998,402270000
1966-10-03,76.559998,83.879997,72.279999,80.330002,457060000
1967-01-02,80.330002,91.720001,79.43,90.199997,615000000
1967-04-03,90.199997,95.25,87.190002,90.639999,618660000
1967-07-03,90.639999,98.309998,90.120003,96.709999,629490000
1967-10-02,96.709999,98.25,90.089996,96.470001,665670000
1968-01-01,96.470001,97.839996,86.730003,90.199997,629760000
1968-04-01,91.110001,102.839996,91.110001,99.580002,844690000
1968-07-01,99.580002,103.669998,95.790001,102.669998,664720000
1968-10-01,102.669998,109.370003,101.800003,103.860001,791530000
1969-01-01,103.860001,104.870003,96.629997,101.510002,673200000
1969-04-01,101.510002,106.739998,95.209999,97.709999,728640000
1969-07-01,97.709999,100.330002,88.040001,93.120003,649080000
1969-10-01,93.120003,99.230003,88.620003,92.059998,796060000
1970-01-01,92.059998,94.25,84.419998,89.629997,662350000
1970-04-01,89.629997,90.699997,68.610001,72.720001,707760000
