time,open,high,low,close,Swing High,Swing Low,Trail,Fast,Signal,Base line,Band A,Band B,Fast,Slow
2026-09-22T16:50:00-04:00,4357.71,4360.09,4357.685,4358.36,4371.38,4348.77,,48.1497602751911,49.86605646775747,64.47138083205323,81.82022771589814,47.122533948208314,49.34008191368698,51.04041753893209
2026-09-22T16:55:00-04:00,4358.41,4359.135,4358.05,4358.54,4371.38,4348.77,,49.39680230338312,49.24147326520623,63.59510307831972,80.87333641217094,46.31686974446849,50.443197193154745,50.42456294692142
2026-09-22T18:00:00-04:00,4363.61,4363.795,4363.42,4363.435,4371.38,4357.45,,55.703049501623056,50.626208241572655,63.05941955859609,79.71603480306989,46.40280431412229,56.12357372909708,51.62831322681491
2026-09-22T18:05:00-04:00,4363.515,4364.735,4361.705,4362.15,4371.38,4357.45,,59.766476548177536,51.757038254308505,62.41880766292526,78.46506849958611,46.37254682626441,59.75625384276633,52.60358764076881
2026-09-22T18:10:00-04:00,4362.17,4364.46,4361.395,4364.38,4371.38,4357.45,,60.05710918232883,53.935317664250476,62.128460654399106,77.9368882571206,46.320033051677605,60.02793155068394,54.547754987909926
2026-09-22T18:15:00-04:00,4364.39,4364.39,4362.795,4364.005,4371.38,4357.45,,61.721643014376326,55.56355523492363,61.77747996895296,77.2841611057633,46.27079883214262,61.5604441408216,55.999628613166976
2026-09-22T18:20:00-04:00,4363.975,4364.125,4362.57,4364.03,4371.38,4357.45,,61.15189008515321,57.56408216800013,61.68642417677688,77.17779680700949,46.19505154654428,61.03881143031558,57.79759818698337
2026-09-22T18:25:00-04:00,4363.98,4365.455,4362.87,4364.665,4371.38,4357.45,,61.88929623105262,59.489136936598356,61.675383799587856,77.16469030718744,46.18607729198827,61.71265778624074,59.534650291039476
2026-09-22T18:30:00-04:00,4364.705,4365.245,4363.305,4364.315,4371.38,4357.45,,61.93032647090857,61.14508907300739,61.75275770288922,77.2189035460172,46.28661185976123,61.756652375854046,61.03001395346889
2026-09-22T18:35:00-04:00,4364.525,4364.83,4363.45,4364.07,4371.38,4357.45,,60.77185367153395,60.93736669943003,61.67840844360274,77.14667891552709,46.21013797167839,60.710418273389834,60.84517730369455
2026-09-22T18:40:00-04:00,4364.06,4364.99,4362.82,4362.98,4371.38,4357.45,,58.12964443916438,60.677422756146484,61.535475543449635,77.0810280465151,45.98992304038417,58.32173822734056,60.62015234906153
2026-09-22T18:45:00-04:00,4362.935,4363.13,4361.915,4361.925,4371.38,4357.45,,54.02596142404872,59.21418162563571,61.22976206971457,76.98561572654057,45.473908412888555,54.594918704591564,59.292887919096735
2026-09-22T18:50:00-04:00,4361.94,4362.895,4360.555,4362.445,4365.455,4357.45,,52.93520572999847,58.167012103467094,60.91808535212134,76.7762371362331,45.05993356800956,53.580603224005976,58.34019780139992
2026-09-22T18:55:00-04:00,4362.46,4363.105,4361.535,4362.325,4365.455,4357.45,,53.555766920280675,57.043860721386416,60.48464804581035,76.3439640176394,44.62533207398131,54.128231356470664,57.31843646942674
2026-09-22T19:00:00-04:00,4362.345,4364.415,4362.09,4363.7,4365.455,4357.45,,55.636299572652504,56.38044162963849,60.15560266302263,75.83841020448396,44.47279512156129,55.97968517542116,56.70220562688004
2026-09-22T19:05:00-04:00,4363.685,4363.8,4362.24,4363.17,4365.455,4357.45,,56.80132776532761,55.57843251979185,59.77145634556993,75.3115735635034,44.23133912763646,57.0056437583344,55.9610054358497
2026-09-22T19:10:00-04:00,4363.165,4363.58,4360.67,4361.505,4365.455,4357.45,,52.32436000069243,53.96687200939805,59.146749618864256,74.66970290155624,43.623796336172276,52.93074625701017,54.4794421936287
2026-09-22T19:15:00-04:00,4361.545,4365.6,4360.495,4365.115,4365.455,4357.45,4361.119514999999,54.587279100754785,54.566328137389114,58.82323755890515,73.97671123858555,43.66976387922475,54.95710041955874,54.99968034791204
2026-09-22T19:20:00-04:00,4365.075,4365.075,4363.075,4363.72,4365.455,4357.45,4361.119514999999,57.64549129292401,55.001023400505275,58.06155469236678,71.88980411283558,44.233305271897976,57.68946543153167,55.36359840132587
2026-09-22T19:25:00-04:00,4363.8,4363.87,4362.245,4363.765,4365.455,4357.45,4361.119514999999,55.184093529765185,55.20886750875103,57.33491016206818,69.72500872712122,44.94481159701513,55.42318027149213,55.52613093290808
