Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
87,Exit long,2026-07-01 08:00,Exit Long,4033.81,1,4030.51,3.3,0.08,0,3.5,0.09,-0.06,0.00,1221.47,1.22,1
87,Entry long,2026-07-01 07:00,Long,4030.51,1,4030.51,3.3,0.08,0,3.5,0.09,-0.06,0.00,1221.47,1.22,1
88,Exit long,2026-07-07 08:00,Exit Long,4174.87,1,4156.87,18,0.43,0,18.18,0.44,-2.17,-0.05,1239.47,1.24,1
88,Entry long,2026-07-07 07:00,Long,4156.87,1,4156.87,18,0.43,0,18.18,0.44,-2.17,-0.05,1239.47,1.24,1
89,Exit short,2026-07-08 22:00,Exit Short,4064.68,1,4072.82,8.14,0.20,0,8.36,0.21,-0.05,0.00,1247.61,1.25,1
89,Entry short,2026-07-08 21:00,Short,4072.82,1,4072.82,8.14,0.20,0,8.36,0.21,-0.05,0.00,1247.61,1.25,1
90,Exit short,2026-07-14 22:00,Exit Short,4029.43,1,4037.34,7.91,0.20,0,8.1,0.20,-4.92,-0.12,1255.52,1.26,1
90,Entry short,2026-07-14 21:00,Short,4037.34,1,4037.34,7.91,0.20,0,8.1,0.20,-4.92,-0.12,1255.52,1.26,1
91,Exit long,2026-07-15 09:00,Exit Long,4073.89,1,4067.87,6.02,0.15,0,6.21,0.15,-0.05,0.00,1261.54,1.26,1
91,Entry long,2026-07-15 08:00,Long,4067.87,1,4067.87,6.02,0.15,0,6.21,0.15,-0.05,0.00,1261.54,1.26,1
92,Exit short,2026-07-15 22:00,Exit Short,4024.52,1,4039.04,14.52,0.36,0,14.71,0.36,-1.08,-0.03,1276.06,1.28,1
92,Entry short,2026-07-15 21:00,Short,4039.04,1,4039.04,14.52,0.36,0,14.71,0.36,-1.08,-0.03,1276.06,1.28,1
93,Exit short,2026-07-17 09:00,Exit Short,3959.89,1,3966.1,6.21,0.16,0,6.4,0.16,-0.06,0.00,1282.27,1.28,1
93,Entry short,2026-07-17 08:00,Short,3966.1,1,3966.1,6.21,0.16,0,6.4,0.16,-0.06,0.00,1282.27,1.28,1
94,Exit long,2026-07-20 21:00,Exit Long,4035.71,1,4024.98,10.73,0.27,0,10.9,0.27,-6.61,-0.16,1293,1.29,1
94,Entry long,2026-07-20 20:00,Long,4024.98,1,4024.98,10.73,0.27,0,10.9,0.27,-6.61,-0.16,1293,1.29,1
95,Exit short,2026-07-26 18:00,Exit Short,4092.01,1,4052.89,-39.12,-0.97,0,0,0.00,-39.12,-0.97,1253.88,1.25,1
95,Entry short,2026-07-24 16:00,Short,4052.89,1,4052.89,-39.12,-0.97,0,0,0.00,-39.12,-0.97,1253.88,1.25,1
96,Exit short,2026-07-29 09:00,Exit Short,4002.7,1,4022.62,19.92,0.50,0,20.08,0.50,-3.8,-0.09,1273.8,1.27,1
96,Entry short,2026-07-29 08:00,Short,4022.62,1,4022.62,19.92,0.50,0,20.08,0.50,-3.8,-0.09,1273.8,1.27,1
97,Exit long,2026-07-30 06:00,Exit Long,4082.8,1,4063.43,19.37,0.48,0,19.61,0.48,-0.37,-0.01,1293.17,1.29,1
97,Entry long,2026-07-30 05:00,Long,4063.43,1,4063.43,19.37,0.48,0,19.61,0.48,-0.37,-0.01,1293.17,1.29,1
98,Exit short,2026-08-03 06:00,Exit Short,4046.39,1,4055.26,8.87,0.22,0,9.05,0.22,-1.9,-0.05,1302.04,1.30,1
98,Entry short,2026-08-03 05:00,Short,4055.26,1,4055.26,8.87,0.22,0,9.05,0.22,-1.9,-0.05,1302.04,1.30,1
99,Exit short,2026-08-04 07:00,Exit Short,4052.56,1,4053.82,1.26,0.03,0,1.42,0.04,-0.06,0.00,1303.3,1.30,1
99,Entry short,2026-08-04 06:00,Short,4053.82,1,4053.82,1.26,0.03,0,1.42,0.04,-0.06,0.00,1303.3,1.30,1
100,Exit long,2026-08-04 09:00,Exit Long,4093.67,1,4084.31,9.36,0.23,0,9.53,0.23,-23.18,-0.57,1312.66,1.31,2
100,Entry long,2026-08-04 07:00,Long,4084.31,1,4084.31,9.36,0.23,0,9.53,0.23,-23.18,-0.57,1312.66,1.31,2
101,Exit long,2026-08-10 12:00,Exit Long,4364.57,1,4358.57,6,0.14,0,6.2,0.14,-0.05,0.00,1318.66,1.32,1
101,Entry long,2026-08-10 11:00,Long,4358.57,1,4358.57,6,0.14,0,6.2,0.14,-0.05,0.00,1318.66,1.32,1
102,Exit long,2026-08-11 09:00,Exit Long,4404.05,1,4392.58,11.47,0.26,0,11.67,0.27,-8.02,-0.18,1330.13,1.33,1
102,Entry long,2026-08-11 08:00,Long,4392.58,1,4392.58,11.47,0.26,0,11.67,0.27,-8.02,-0.18,1330.13,1.33,1
103,Exit long,2026-08-12 20:00,Exit Long,4449.58,1,4414.51,35.07,0.79,0,35.27,0.80,-1.46,-0.03,1365.2,1.37,1
103,Entry long,2026-08-12 19:00,Long,4414.51,1,4414.51,35.07,0.79,0,35.27,0.80,-1.46,-0.03,1365.2,1.37,1
104,Exit long,2026-08-20 11:00,Exit Long,4540.74,1,4516.02,24.72,0.55,0,24.94,0.55,-5.95,-0.13,1389.92,1.39,1
104,Entry long,2026-08-20 10:00,Long,4516.02,1,4516.02,24.72,0.55,0,24.94,0.55,-5.95,-0.13,1389.92,1.39,1
105,Exit long,2026-08-24 16:00,Exit Long,4655.08,1,4651.83,3.25,0.07,0,3.49,0.08,-0.06,0.00,1393.17,1.39,1
105,Entry long,2026-08-24 15:00,Long,4651.83,1,4651.83,3.25,0.07,0,3.49,0.08,-0.06,0.00,1393.17,1.39,1
106,Exit long,2026-08-25 14:00,Exit Long,4654.81,1,4652.76,2.05,0.04,0,2.29,0.05,-18.52,-0.40,1395.22,1.40,3
106,Entry long,2026-08-25 11:00,Long,4652.76,1,4652.76,2.05,0.04,0,2.29,0.05,-18.52,-0.40,1395.22,1.40,3
107,Exit long,2026-08-26 22:00,Exit Long,4642.85,1,4640.16,2.69,0.06,0,2.91,0.06,-0.06,0.00,1397.91,1.40,1
107,Entry long,2026-08-26 21:00,Long,4640.16,1,4640.16,2.69,0.06,0,2.91,0.06,-0.06,0.00,1397.91,1.40,1
108,Exit short,2026-08-28 11:00,Exit Short,4524.4,1,4576.64,52.24,1.14,0,52.49,1.15,-6.16,-0.13,1450.15,1.45,1
108,Entry short,2026-08-28 10:00,Short,4576.64,1,4576.64,52.24,1.14,0,52.49,1.15,-6.16,-0.13,1450.15,1.45,1
109,Exit long,2026-09-04 08:00,Exit Long,4476.13,1,4472.94,3.19,0.07,0,3.37,0.08,-7.6,-0.17,1453.34,1.45,2
109,Entry long,2026-09-04 06:00,Long,4472.94,1,4472.94,3.19,0.07,0,3.37,0.08,-7.6,-0.17,1453.34,1.45,2
110,Exit short,2026-09-09 20:00,Exit Short,4390.05,1,4394.22,4.17,0.09,0,4.37,0.10,-0.05,0.00,1457.51,1.46,1
110,Entry short,2026-09-09 19:00,Short,4394.22,1,4394.22,4.17,0.09,0,4.37,0.10,-0.05,0.00,1457.51,1.46,1
111,Exit long,2026-09-09 22:00,Exit Long,4420.71,1,4412.28,8.43,0.19,0,8.63,0.20,-4.15,-0.09,1465.94,1.47,1
111,Entry long,2026-09-09 21:00,Long,4412.28,1,4412.28,8.43,0.19,0,8.63,0.20,-4.15,-0.09,1465.94,1.47,1
112,Exit short,2026-09-10 06:00,Exit Short,4375.57,1,4394.04,18.47,0.42,0,18.67,0.42,-6.19,-0.14,1484.41,1.48,1
112,Entry short,2026-09-10 05:00,Short,4394.04,1,4394.04,18.47,0.42,0,18.67,0.42,-6.19,-0.14,1484.41,1.48,1
113,Exit short,2026-09-11 08:00,Exit Short,4293.34,1,4333.33,39.99,0.92,0,40.2,0.93,-0.08,0.00,1524.4,1.52,1
113,Entry short,2026-09-11 07:00,Short,4333.33,1,4333.33,39.99,0.92,0,40.2,0.93,-0.08,0.00,1524.4,1.52,1
